01_Presence Condition,02_Total Lines in Code,03_Line Coverage Precentage
CONFIG_BIGINT_CRT && CONFIG_BIGINT_MONTGOMERY,2,0.03
CONFIG_SSL_HAS_PEM && CONFIG_SSL_FULL_MODE,2,0.03
WIN32 && !CONFIG_SSL_FULL_MODE,2,0.03
CONFIG_ENABLE_VERIFICATION,2,0.03
!AXDEBUG,2,0.03
CONFIG_HTTP_HAS_CGI && CONFIG_HTTP_VERBOSE,2,0.03
WIN32 && _WIN32_WCE,2,0.03
!CONFIG_BIGINT_CHECK_ON,1,0.02
!CONFIG_BIGINT_KARATSUBA,1,0.02
CONFIG_BIGINT_SQUARE && !CONFIG_BIGINT_KARATSUBA,1,0.02
!CONFIG_BIGINT_MONTGOMERY,1,0.02
!STDIN_FILENO,1,0.02
!CONFIG_PLATFORM_SOLARIS,1,0.02
!CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_HAS_PEM,1,0.02
!CONFIG_SSL_SKELETON_MODE && !CONFIG_SSL_HAS_PEM && CONFIG_SSL_FULL_MODE,1,0.02
CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_FULL_MODE,1,0.02
CONFIG_SSL_PROT_LOW,1,0.02
CONFIG_SSL_PROT_MEDIUM,1,0.02
!(CONFIG_SSL_PROT_LOW || CONFIG_SSL_PROT_MEDIUM),1,0.02
CONFIG_SSL_SERVER_ONLY,1,0.02
!(CONFIG_SSL_FULL_MODE || CONFIG_SSL_ENABLE_CLIENT || CONFIG_ENABLE_VERIFICATION || CONFIG_SSL_SERVER_ONLY),1,0.02
!CONFIG_SSL_FULL_MODE,1,0.02
!CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_FULL_MODE,1,0.02
(CONFIG_SSL_HAS_PEM || CONFIG_HTTP_HAS_AUTHORIZATION) && CONFIG_SSL_FULL_MODE,1,0.02
CONFIG_SSL_HAS_PEM || (CONFIG_HTTP_HAS_AUTHORIZATION && CONFIG_SSL_FULL_MODE),1,0.02
!CONFIG_HTTP_HAS_CGI,1,0.02
CONFIG_HTTP_HAS_AUTHORIZATION && CONFIG_HTTP_VERBOSE,1,0.02
!CONFIG_HTTP_DIRECTORIES,1,0.02
WIN32 || CONFIG_PLATFORM_CYGWIN,1,0.02
CONFIG_HTTP_HAS_CGI && WIN32,1,0.02
(CONFIG_HTTP_HAS_CGI && !WIN32) && CONFIG_HTTP_HAS_AUTHORIZATION,1,0.02
CONFIG_HTTP_HAS_CGI && !WIN32 && CONFIG_HTTP_HAS_AUTHORIZATION,1,0.02
(CONFIG_HTTP_HAS_CGI && !WIN32) && CONFIG_HTTP_HAS_CGI,1,0.02
!WIN32 && CONFIG_HTTP_HAS_CGI,1,0.02
!WIN32 && CONFIG_HTTP_VERBOSE,1,0.02
CONFIG_HTTP_HAS_DIRECTORIES && WIN32,1,0.02
CONFIG_HTTP_HAS_DIRECTORIES && !WIN32,1,0.02
